1862,2,21,Friday,DWR_1862_02-20.jpg
NAIRN,29.65,46,43,0
ABERDEEN,29.74,43,42,0
LEITH,29.74,48,45,0
BERWICK,29.81,43,40,0
ARDROSSAN,29.66,46,44,0
PORTRUSH,29.49,44,42,0
GALWAY,29.32,50,47,0
SHIELDS,29.84,43,41,0
SCARBOROUGH,29.92,43,42,0
HELIGOLAND,30.03,41,40,0.15
LIVERPOOL,29.84,45,44,0
QUEENSTOWN,29.38,52,51,0
VALENTIA,999,999,999,0
YARMOUTH,30.02,39,38,0
LONDON,29.99,46,44,0.01
DOVER,30.01,46,45,0
PORTSMOUTH,29.94,44,43,0
PORTLAND,29.91,47,46,0.06
PLYMOUTH,29.77,47,41,0
PENZANCE,29.71,50,48,0
COPENHAGEN,29.92,33,999,0
HELDER,30.07,39,999,0
BREST,29.71,47,999,0
BAYONNE,29.82,49,999,0
LISBON,29.64,55,999,0
