1862,6,11,Wednesday,DWR_1862_06-10.jpg
NAIRN,29.63,53,49,0
ABERDEEN,29.64,53,51,0
LEITH,29.5,52,49,0
BERWICK,29.58,54,52,0.17
ARDROSSAN,29.37,53,50,0.11
PORTRUSH,?29.32,54,53,0
GALWAY,29.06,54,52,0
SHIELDS,29.53,52,49,0.09
SCARBOROUGH,29.54,52,51,0
HELIGOLAND,29.8,55,54,0
LIVERPOOL,29.36,56,53,0.03
QUEENSTOWN,28.98,54,53,0
VALENTIA,28.91,56,54,1.36
YARMOUTH,29.55,57,54,0
LONDON,29.49,57,53,0.13
DOVER,29.54,60,58,0
PORTSMOUTH,29.45,59,56,0.25
PORTLAND,29.4,58,54,0.09
PLYMOUTH,29.24,57,55,0.56
PENZANCE,29.22,58,57,0.55
JERSEY,29.5,61,56,0
COPENHAGEN,29.89,59,999,0
HELDER,29.66,59,999,0
BREST,29.29,56,999,0
BAYONNE,999,65,999,0
LISBON,30.01,65,999,0
