1862,8,23,Saturday,DWR_1862_08-19.jpg
NAIRN,29.91,51,49,0
ABERDEEN,29.94,51,49,0.76
LEITH,29.98,57,52,0
BERWICK,30.01,55,50,0
ARDROSSAN,30.01,56,54,0
PORTRUSH,30.04,56,52,0
GALWAY,30.13,56,55,0
VALENTIA,30.15,60,58,0
QUEENSTOWN,30.18,56,55,0
HOLYHEAD,30.12,58,54,0
LIVERPOOL,30.13,57,53,0
PEMBROKE,30.18,57,55,0
PENZANCE,30.24,59,58,0
PLYMOUTH,30.2,59,56,0
JERSEY,30.24,61,58,0
WEYMOUTH,30.19,61,51,0
PORTSMOUTH,30.16,58,54,0
DOVER,30.13,59,54,0
LONDON,30.16,57,54,0
YARMOUTH,30.09,56,53,0
SCARBOROUGH,30.06,58,53,0
SHIELDS,30.04,54,51,0
HELIGOLAND,29.95,60,59,0.27
HELDER,30.06,59,999,0
COPENHAGEN,29.86,65,999,0
BREST,30.22,52,999,0
BAYONNE,999,64,999,0
LISBON,30.13,68,999,0
