1862,5,29,Thursday,DWR_1862_05-26.jpg
NAIRN,29.77,54,51,0
ABERDEEN,29.86,50,49,0
LEITH,29.78,55,52,0
BERWICK,29.86,54,50,0
ARDROSSAN,29.72,54,51,0.14
PORTRUSH,29.69,53,52,0
GALWAY,29.69,60,59,0
SHIELDS,29.87,54,51,0
SCARBOROUGH,29.9,52,51,0
HELIGOLAND,30.03,62,55,0
LIVERPOOL,29.85,59,56,0
QUEENSTOWN,29.71,58,57,0
VALENTIA,29.71,58,56,0.24
YARMOUTH,29.9,56,55,0
LONDON,29.92,59,57,0.02
DOVER,29.93,59,57,0
PORTSMOUTH,29.87,61,59,0
PORTLAND,29.88,57,56,0
PLYMOUTH,29.81,58,56,0
PENZANCE,29.84,57,56,0
JERSEY,29.86,64,59,0
COPENHAGEN,29.84,54,999,0
HELDER,29.99,55,999,0
BREST,29.8,55,999,0
BAYONNE,999,64,999,0
LISBON,29.75,64,999,0
