1865,9,28,Thursday,DWR_1865_09-44.jpg
NAIRN,30.37,47,0,
ABERDEEN,30.36,50,0,
LEITH,30.36,53,0,
ARDROSSAN,30.31,55,0,
GREENCASTLE,30.26,56,0.13,
SHIELDS,30.38,56,0,
SCARBOROUGH,30.31,59,0,
HELIGOLAND,999,999,999,
LIVERPOOL,30.27,57,0,
HOLYHEAD,30.14,61,0,
GALWAY,999,999,999,
YARMOUTH,30.22,60,0,
VALENTIA,30.12,63,0.4,
QUEENSTOWN,999,999,999,
PEMBROKE,999,999,999,
LONDON,30.21,53,0,
CAPECLEAR,30.1,62,0.68,
DOVER,999,999,999,
PORTSMOUTH,30.17,57,0,
WEYMOUTH,30.17,62,0,
PLYMOUTH,30.18,63,0,
PENZANCE,30.19,62,0,
BREST,30.2,61,0,
LORIENT,30.12,61,0,
ROCHEFORT,30.16,59,0.16,
