1863,1,10,Saturday,DWR_1863_01-8.jpg
NAIRN,29.98,39,2,0.1
ABERDEEN,30.05,41,1,0.23
LEITH,29.97,43,3,0.22
ARDROSSAN,29.94,40,2,0.15
PORTRUSH,29.78,43,1,0
GALWAY,29.68,34,3,0
VALENTIA,29.66,42,1,0.1
QUEENSTOWN,29.72,43,1,0.22
HOLYHEAD,29.78,38,1,0.2
LIVERPOOL,29.87,39,3,0.14
PEMBROKE,?29.66,41,2,0
PENZANCE,29.64,43,2,0
BREST,29.53,41,4,0
JERSEY,29.58,37,1,0.07
LORIENT,29.46,37,2,0
ROCHEFORT,29.44,46,4,0.32
PLYMOUTH,29.64,40,2,0.11
WEYMOUTH,29.67,37,1,0.24
PORTSMOUTH,29.7,38,1,0
KEW,29.78,38,2,0
LONDON,29.78,37,1,0.02
YARMOUTH,29.88,43,2,0
SCARBOROUGH,29.94,42,2,0.5
SHIELDS,30.02,44,4,0
HELIGOLAND,30.05,37,0,0
COPENHAGEN,30.07,36,999,0
HELDER,29.95,36,999,0
BAYONNE,999,47,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
