1861,9,16,Monday,DWR_1861_09-12.jpg
NAIRN,30.01,51,49,
ABERDEEN,29.9,52,49,
LEITH,30,55,52,
BERWICK,29.9,54,50,
ARDROSSAN,30.06,55,53,
PORTRUSH,30.13,54,52,
SHIELDS,29.92,54,49,
GALWAY,30.23,55,53,
SCARBOROUGH,29.86,54,52,
LIVERPOOL,30.01,57,53,
VALENTIA,30.26,54,52,
QUEENSTOWN,30.21,55,51,
YARMOUTH,29.81,55,54,
LONDON,29.91,53,50,
DOVER,29.87,58,54,
PORTSMOUTH,29.98,57,55,
PORTLAND,30.01,58,54,
PLYMOUTH,30.06,58,54,
PENZANCE,30.14,57,56,
COPENHAGEN,29.56,54,999,
HELDER,29.61,59,999,
BREST,30.1,53,999,
BAYONNE,30.09,59,999,
LISBON,30.05,67,999,
