1863,1,24,Saturday,DWR_1863_01-21.jpg
NAIRN,29.08,34,1,0.34
ABERDEEN,29.13,37,1,0.15
LEITH,29.21,41,3,0
ARDROSSAN,29.19,42,1,999
PORTRUSH,29.17,41,2,0
GALWAY,999,999,999,999
VALENTIA,999,999,999,999
QUEENSTOWN,29.59,42,1,0.54
HOLYHEAD,29.33,42,1,0.35
LIVERPOOL,29.41,41,2,0.12
PEMBROKE,29.55,44,999,0.28
PENZANCE,29.8,46,2,0
JERSEY,999,999,999,999
BREST,30.03,48,2,0.16
LORIENT,30,50,4,0
ROCHEFORT,30.13,48,2,0
PLYMOUTH,29.77,46,2,0.38
WEYMOUTH,29.77,47,3,0.43
PORTSMOUTH,29.76,47,2,0
KEW,29.73,45,2,0
LONDON,29.73,45,2,0.01
YARMOUTH,29.7,42,2,0
SCARBOROUGH,29.45,39,1,0
SHIELDS,29.37,41,2,0
HELIGOLAND,29.86,40,0,0
COPENHAGEN,29.76,37,999,0
HELDER,29.84,38,999,0
BAYONNE,999,50,999,0
OPORTO,999,999,999,999
LISBON,30.29,49,999,0
