1862,6,6,Friday,DWR_1862_06-5.jpg
NAIRN,29.51,49,45,0
ABERDEEN,29.54,53,49,0
LEITH,29.51,53,50,0
BERWICK,29.58,53,50,0
ARDROSSAN,29.52,54,52,0.21
PORTRUSH,29.02,54,52,0
GALWAY,29.18,55,54,0
SHIELDS,29.59,54,50,0
SCARBOROUGH,29.63,54,52,0.15
HELIGOLAND,29.74,62,58,0
LIVERPOOL,29.59,55,52,0.04
QUEENSTOWN,29.25,56,55,0.4
VALENTIA,29.18,55,54,0.68
YARMOUTH,29.67,58,56,0
LONDON,29.69,59,54,0.29
DOVER,29.74,59,58,0
PORTSMOUTH,29.71,58,55,0.33
PORTLAND,29.7,58,55,0.23
PLYMOUTH,29.62,55,54,0.53
PENZANCE,29.6,56,55,0.32
JERSEY,29.79,61,57,0
COPENHAGEN,29.69,63,999,0
HELDER,29.74,59,999,0
BREST,29.7,58,999,0
BAYONNE,999,61,999,0
LISBON,30.02,63,999,0
