1862,3,6,Thursday,DWR_1862_03-4.jpg
NAIRN,29.21,28,999,0
ABERDEEN,29.23,36,35,0.34
LEITH,29.27,40,38,0
BERWICK,29.3,39,37,0
ARDROSSAN,29.28,40,39,0.62
PORTRUSH,29.27,37,36,0
GALWAY,29.16,46,45,0
SHIELDS,29.3,40,39,0
SCARBOROUGH,29.32,42,41,0.35
HELIGOLAND,29.56,32,31,0
LIVERPOOL,29.34,46,45,0.02
QUEENSTOWN,29.34,51,50,0
VALENTIA,29.16,51,50,0.6
YARMOUTH,29.46,46,45,0
LONDON,29.5,52,50,0.09
DOVER,29.58,48,47,0.3
PORTSMOUTH,29.55,50,49,0.5
PORTLAND,999,999,999,999
PLYMOUTH,29.55,50,49,0.95
PENZANCE,29.58,53,52,0.9
COPENHAGEN,29.73,32,999,0
HELDER,29.5,37,999,0
BREST,29.73,52,999,0
BAYONNE,999,50,999,0
LISBON,30.05,50,999,0
