1862,2,15,Saturday,DWR_1862_02-14.jpg
NAIRN,30.21,37,36,0
ABERDEEN,30.2,39,38,0
LEITH,30.21,42,39,0
BERWICK,30.23,41,38,0
ARDROSSAN,30.24,40,38,0
PORTRUSH,30.22,39,38,0
GALWAY,30.14,39,37,0
SHIELDS,30.21,40,38,0
SCARBOROUGH,30.19,41,40,0
HELIGOLAND,30.14,34,32,0
LIVERPOOL,30.2,41,38,0
QUEENSTOWN,30.06,45,44,0
VALENTIA,30.02,43,41,0
YARMOUTH,30.19,40,39,0
LONDON,30.17,41,39,0
DOVER,30.19,42,40,0
PORTSMOUTH,30.11,39,37,0
PORTLAND,30.13,40,38,0
PLYMOUTH,30.04,41,38,0
PENZANCE,30.08,43,40,0
COPENHAGEN,999,999,999,999
HELDER,30.16,34,999,0
BREST,29.98,32,999,0
BAYONNE,29.88,36,999,0
LISBON,29.66,50,999,0
