1863,3,6,Friday,DWR_1863_03-4.jpg
NAIRN,29.4,46,2,0
ABERDEEN,29.48,44,1,0
LEITH,29.42,51,4,0
ARDROSSAN,29.33,49,3,0.15
PORTRUSH,29.21,44,2,0
GALWAY,28.89,47,2,0.45
VALENTIA,28.86,45,1,1.12
QUEENSTOWN,29.02,48,1,0.62
HOLYHEAD,29.31,45,2,0
LIVERPOOL,29.42,48,3,0
PEMBROKE,29.33,46,2,0.11
PENZANCE,29.33,48,1,0.2
BREST,29.45,48,4,0.04
LORIENT,29.57,50,3,0
ROCHEFORT,29.8,46,1,0
PLYMOUTH,29.43,49,4,0
WEYMOUTH,29.49,48,1,0
PORTSMOUTH,29.52,48,2,0
KEW,29.59,47,2,0
LONDON,29.6,48,3,0
YARMOUTH,29.65,46,2,0
SCARBOROUGH,29.53,47,2,0
SHIELDS,29.51,48,3,0
HELIGOLAND,29.85,39,0,0
COPENHAGEN,29.86,34,999,0
HELDER,29.73,44,999,0
BAYONNE,999,50,999,0
LISBON,30.06,57,999,0
