1863,6,3,Wednesday,DWR_1863_06-2.jpg
NAIRN,29.82,56,4,0.3
ABERDEEN,29.82,59,4,0.11
LEITH,29.86,60,5,0.07
ARDROSSAN,29.93,56,2,0.21
GREENCASTLE,29.89,53,2,0.26
GALWAY,29.97,58,1,0.35
VALENTIA,30.04,54,2,0.36
QUEENSTOWN,30.01,58,2,0.08
SHIELDS,29.85,62,5,0
SCARBOROUGH,29.95,61,3,0
LIVERPOOL,29.97,62,5,0
HOLYHEAD,29.95,54,1,0
PEMBROKE,30.01,60,2,0
PENZANCE,30.04,62,1,0
BREST,30.04,63,5,0
LORIENT,30,64,5,0
ROCHEFORT,30.08,64,5,0
BAYONNE,29.96,68,999,0
PLYMOUTH,30.03,64,5,0
WEYMOUTH,30.01,61,4,0
PORTSMOUTH,29.98,61,3,0
LONDON,30.01,67,7,0
DOVER,30.03,67,3,0
YARMOUTH,30.02,58,2,0
HELDER,30.1,57,999,0
HELIGOLAND,30.19,54,4,0
COPENHAGEN,30.3,58,999,0
LISBON,29.75,67,999,0
