1863,3,18,Wednesday,DWR_1863_03-15.jpg
NAIRN,29.99,32,3,0
ABERDEEN,29.99,38,3,0
LEITH,29.98,40,4,0
ARDROSSAN,29.99,36,1,0
PORTRUSH,29.95,40,1,0
GALWAY,30.13,43,2,0.5
VALENTIA,30.22,44,0,0.5
QUEENSTOWN,30.11,43,1,0.31
HOLYHEAD,29.93,39,1,0.25
LIVERPOOL,30.01,37,999,0
PEMBROKE,29.98,42,1,0.3
PENZANCE,29.96,46,1,0.5
BREST,30,45,0,0.24
LORIENT,30.08,43,1,0
ROCHEFORT,30.16,39,2,0
PLYMOUTH,29.95,41,1,0
WEYMOUTH,29.99,42,2,0
PORTSMOUTH,30,40,4,0
KEW,30.06,31,999,0
LONDON,30.05,33,2,0
YARMOUTH,29.98,40,2,0
SCARBOROUGH,30,40,3,0
SHIELDS,30.07,36,2,0
HELIGOLAND,29.87,37,1,0
COPENHAGEN,29.75,37,999,0
HELDER,29.91,39,999,0
BAYONNE,999,999,999,999
LISBON,30.17,54,999,0
