1862,12,6,Saturday,DWR_1862_12-6.jpg
NAIRN,29.56,48,3,0
ABERDEEN,29.67,49,1,0.15
LEITH,29.62,53,999,0
BERWICK,29.74,48,2,0.13
ARDROSSAN,29.64,50,1,0
PORTRUSH,999,999,999,999
GALWAY,29.41,49,1,0.5
VALENTIA,29.53,51,1,0.89
QUEENSTOWN,29.52,52,1,0.58
HOLYHEAD,29.59,51,0,0.5
LIVERPOOL,29.77,52,2,0
PEMBROKE,29.72,53,0,0.66
PENZANCE,29.81,55,1,0.35
PLYMOUTH,29.89,55,1,0.35
JERSEY,30.1,53,1,0.16
WEYMOUTH,29.97,55,2,0.12
PORTSMOUTH,30.03,52,1,0.18
DOVER,30.11,52,1,1.04
LONDON,30.07,53,2,0.04
YARMOUTH,30.1,49,0,0
SCARBOROUGH,29.91,49,1,0
SHIELDS,29.78,50,2,0
HELIGOLAND,30.24,42,2,0
HELDER,30.21,45,999,0
COPENHAGEN,30.25,36,999,0
BREST,29.98,56,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,47,999,0
LISBON,999,999,999,999
