1870,1,9,Sunday,DWR_1870_01-16.jpg
HEARTSCONTENT,29.72,34,0.24,
CHRISTIANSUND,28.94,999, NaN,
SKUDDESNAES,28.91,38, NaN,
THURSO,999,999,999,
WICK,29.29,38,0.5,
OXO,28.84,37, NaN,
NAIRN,999,999,999,
ABERDEEN,29.3,38,0.15,
LEITH,29.36,40,0.1,
ARDROSSAN,29.4,41,0.15,
GREENCASTLE,29.54,43,0.34,
SHIELDS,999,999,999,
SCARBOROUGH,29.27,38,0.06,
LIVERPOOL,29.27,999,0.22,
HOLYHEAD,29.32,42,0.11,
HELDER,29.36,44, NaN,
YARMOUTH,29.36,44,0.24,
VALENTIA,29.66,38,0.09,
ROCHESPOINT,29.53,44,0.09,
PEMBROKE,29.33,44,0.29,
LONDON,29.37,44,0.09,
CAPECLEAR,999,999,999,
CAPGRISNEZ,29.42,45,0.02,
BRUSSELS,29.58,46, NaN,
PORTSMOUTH,29.4,43,0.07,
PLYMOUTH,29.4,45,0.36,
PENZANCE,29.48,46,0.37,
PARIS,29.63,43,0,
STRASBOURG,29.96,46, NaN,
BREST,29.6,48,0.03,
LORIENT,29.6,45,0.09,
ROCHEFORT,29.83,48,0.07,
LYONS,29.82,36, NaN,
BIARRITZ,30.02,48,0,
CORUNNA,30.01,51, NaN,
TOULON,30.04,48,0,
