1863,3,3,Tuesday,DWR_1863_03-1.jpg
NAIRN,29.51,50,3,0
ABERDEEN,29.62,48,1,0.2
LEITH,29.63,54,4,0
ARDROSSAN,29.58,49,1,0.15
PORTRUSH,29.46,999,1,0
GALWAY,29.38,51,1,0.52
VALENTIA,29.34,50,0,1.02
QUEENSTOWN,29.47,52,1,1.24
HOLYHEAD,29.61,52,4,0.09
LIVERPOOL,29.73,52,5,0
PEMBROKE,29.58,50,1,0.15
PENZANCE,29.66,51,1,0
BREST,29.69,50,2,0
LORIENT,29.69,48,2,0
ROCHEFORT,29.84,46,2,0
PLYMOUTH,29.71,51,2,0.35
WEYMOUTH,29.79,50,3,0
PORTSMOUTH,29.82,48,3,0
KEW,29.89,46,4,0
LONDON,29.89,46,3,0
YARMOUTH,29.96,45,1,0
SCARBOROUGH,29.83,48,2,0
SHIELDS,29.76,54,4,0
HELIGOLAND,30.01,45,0,0
COPENHAGEN,30.03,39,999,0
HELDER,30.01,46,999,0
BAYONNE,999,48,999,0
LISBON,29.84,52,999,0
