1863,5,25,Monday,DWR_1863_05-20.jpg
NAIRN,30.14,47,3,0.15
ABERDEEN,30.08,46,3,0
LEITH,30.11,49,4,0
ARDROSSAN,30.13,51,3,0
PORTRUSH,30.1,50,2,0
GALWAY,30.15,55,2,0
VALENTIA,30.12,54,6,0
QUEENSTOWN,30.11,53,2,0.09
HOLYHEAD,30.06,52,5,0
LIVERPOOL,30.09,50,6,0
PEMBROKE,30.06,50,4,0
PENZANCE,30.03,55,2,0
BREST,29.96,52,2,0.04
LORIENT,29.88,54,4,0.55
ROCHEFORT,29.84,50,2,0.12
PLYMOUTH,30.01,55,6,0
WEYMOUTH,29.98,51,6,0
PORTSMOUTH,29.95,51,4,0
KEW,29.95,49,4,0
LONDON,29.94,52,4,0
DOVER,29.88,52,1,0.11
YARMOUTH,29.92,51,4,0
SCARBOROUGH,30.03,50,3,0
SHIELDS,30.11,50,4,0
HELIGOLAND,29.85,51,3,0
COPENHAGEN,29.82,49,999,0
HELDER,29.82,50,999,0
LISBON,30,61,999,0
