1862,3,17,Monday,DWR_1862_03-12.jpg
NAIRN,30.06,37,35,0
ABERDEEN,30.04,41,38,0
LEITH,30.01,40,37,0
BERWICK,30,44,41,0
ARDROSSAN,29.98,40,38,0
PORTRUSH,29.97,43,41,0
GALWAY,29.92,43,42,0
SHIELDS,29.96,41,38,0
SCARBOROUGH,29.92,41,39,0
HELIGOLAND,29.98,40,39,0
LIVERPOOL,29.91,40,38,0
QUEENSTOWN,29.89,48,47,0
VALENTIA,29.88,48,47,0
YARMOUTH,29.85,44,43,0
LONDON,29.81,45,44,0.57
DOVER,29.85,47,46,0.49
PORTSMOUTH,29.78,42,41,0.63
PORTLAND,29.83,43,42,0.9
PLYMOUTH,29.82,46,45,0.1
PENZANCE,29.87,45,44,0
JERSEY,29.85,45,44,0
COPENHAGEN,30.02,33,999,0
HELDER,29.92,43,999,0
BREST,29.88,46,999,0
BAYONNE,999,48,999,0
OPORTO,999,55,999,0
LISBON,29.98,54,999,0
