1862,2,8,Saturday,DWR_1862_02-6.jpg
NAIRN,30.56,22,999,999
ABERDEEN,30.63,30,999,999
LEITH,30.66,36,35,999
BERWICK,30.65,35,33,999
ARDROSSAN,30.69,32,31,999
PORTRUSH,30.66,30,999,999
GALWAY,30.61,31,999,999
SHIELDS,30.67,30,999,999
SCARBOROUGH,30.66,32,29,0.35
LIVERPOOL,30.71,29,999,999
QUEENSTOWN,?30.60,40,39,999
VALENTIA,30.57,41,39,999
YARMOUTH,30.63,30,999,999
LONDON,30.61,32,30,999
DOVER,30.56,31,999,999
PORTSMOUTH,30.56,30,999,999
PORTLAND,30.61,31,999,999
PLYMOUTH,30.6,33,32,999
PENZANCE,30.63,33,31,999
COPENHAGEN,30.33,7,999,999
HELDER,30.62,25,999,999
BREST,30.53,32,999,999
BAYONNE,30,35,999,999
LISBON,30.26,53,999,999
