1861,10,26,Saturday,DWR_1861_10-24.jpg
NAIRN,30.39,32,31,
ABERDEEN,30.38,41,40,
LEITH,30.37,49,48,
BERWICK,30.32,48,45,
ARDROSSAN,30.37,46,43,
PORTRUSH,30.36,45,44,
SHIELDS,30.34,49,48,
GALWAY,30.32,40,39,
SCARBOROUGH,30.29,53,52,
LIVERPOOL,30.29,49,47,
VALENTIA,30.26,49,47,
QUEENSTOWN,30.22,51,50,
YARMOUTH,30.19,54,52,
LONDON,30.2,54,52,
DOVER,30.16,56,51,
PORTSMOUTH,30.15,55,54,
PORTLAND,30.15,57,54,
PLYMOUTH,?30.14,57,55,
PENZANCE,30.13,57,56,
COPENHAGEN,30.34,44,999,
HELDER,30.22,49,999,
BREST,30.02,50,999,
BAYONNE,29.87,58,999,
LISBON,29.9,61,999,
