1862,6,22,Sunday,DWR_1862_06-24.jpg
NAIRN,29.59,51,48,0.17
ABERDEEN,29.57,53,47,0
LEITH,29.62,53,50,0
BERWICK,29.63,54,50,0.23
ARDROSSAN,999,999,999,999
PORTRUSH,999,999,999,999
GALWAY,29.86,60,58,0
VALENTIA,999,999,999,999
QUEENSTOWN,29.98,59,57,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.8,56,51,0.06
PENZANCE,30.01,56,55,0
PLYMOUTH,29.88,59,52,0
JERSEY,29.94,60,54,0
PORTLAND,29.87,60,53,0
PORTSMOUTH,29.82,60,55,0
DOVER,999,999,999,999
LONDON,29.77,57,52,0
YARMOUTH,29.71,57,54,0
SCARBOROUGH,29.67,55,52,0
SHIELDS,29.66,54,50,0
HELIGOLAND,29.55,53,50,0
HELDER,999,999,999,999
COPENHAGEN,29.14,51,999,0
BREST,30.03,56,999,0
BAYONNE,999,63,999,0
LISBON,999,999,999,999
