1863,10,8,Thursday,DWR_1863_10-6.jpg
NAIRN,30.04,41,0,0
ABERDEEN,30.01,52,2,0
LEITH,29.95,51,1,0
SHIELDS,29.92,53,2,0.65
SCARBOROUGH,29.85,54,1,0
GREENCASTLE,29.89,50,2,0
GALWAY,29.75,49,1,0.15
VALENTIA,29.7,50,0,999
QUEENSTOWN,29.53,51,1,0.51
LIVERPOOL,29.69,57,2,0.2
HOLYHEAD,29.67,55,0,0.75
PEMBROKE,29.58,54,0,0.42
PENZANCE,29.57,50,1,0.15
BREST,29.53,50,2,0.04
LORIENT,29.45,46,2,0.12
ROCHEFORT,29.65,50,0,0.59
PLYMOUTH,29.49,51,1,0.72
WEYMOUTH,29.49,56,1,0.14
PORTSMOUTH,29.53,58,2,0.27
LONDON,29.6,57,2,0.28
DOVER,29.65,61,1,0.5
YARMOUTH,29.74,57,1,0
HELIGOLAND,29.89,56,0,0
