1862,9,1,Monday,DWR_1862_09-0.jpg
NAIRN,30.21,52,51,0
ABERDEEN,30.12,54,52,0
LEITH,30.17,55,53,0
BERWICK,30.16,59,56,0
ARDROSSAN,30.14,57,55,0
PORTRUSH,30.18,57,55,0
GALWAY,30.2,54,53,0
VALENTIA,30.18,58,55,0
QUEENSTOWN,30.14,57,55,0
HOLYHEAD,30.1,57,54,0
LIVERPOOL,30.13,56,52,0.04
PEMBROKE,30.09,56,55,0
PENZANCE,30.1,59,58,0
PLYMOUTH,30.07,60,56,0.3
JERSEY,30,59,55,0
WEYMOUTH,30.06,56,53,0
PORTSMOUTH,30.02,55,51,0
DOVER,30,63,60,0
LONDON,30.06,56,53,0
YARMOUTH,30.05,59,54,0
SCARBOROUGH,30.08,57,56,0.45
SHIELDS,30.05,57,55,0
HELIGOLAND,30.11,69,66,0
HELDER,30.04,58,999,0
COPENHAGEN,30.25,57,999,0
BREST,29.96,57,999,0
BAYONNE,999,66,999,0
LISBON,29.9,65,999,0
