1863,3,31,Tuesday,DWR_1863_03-26.jpg
NAIRN,30.06,44,2,
ABERDEEN,30.08,44,4,0
LEITH,30.14,46,3,0
ARDROSSAN,30.15,46,2,0
PORTRUSH,30.1,49,1,0
GALWAY,29.99,50,1,0.1
VALENTIA,30.1,50,2,0
QUEENSTOWN,30.08,51,1,0
HOLYHEAD,30.13,49,2,0
LIVERPOOL,30.21,44,2,0
PEMBROKE,30.15,49,1,0
PENZANCE,30.16,48,1,0
BREST,30.08,48,4,0
LORIENT,30.04,48,3,0
ROCHEFORT,30.08,48,2,0
PLYMOUTH,30.16,48,2,0
WEYMOUTH,30.2,46,2,0
PORTSMOUTH,30.18,46,4,0
KEW,30.26,41,4,0
LONDON,30.25,42,3,0.04
DOVER,30.06,45,4,0
YARMOUTH,30.25,41,3,0
SCARBOROUGH,30.23,40,2,0
SHIELDS,30.26,41,3,0
HELIGOLAND,30.18,38,2,0.14
COPENHAGEN,30.07,35,999,0
HELDER,30.25,40,999,0
LISBON,999,999,999,999
