1863,11,7,Saturday,DWR_1863_11-7.jpg
NAIRN,30.21,39,3,0
ABERDEEN,30.18,39,2,0
LEITH,30.21,41,999,0
SHIELDS,30.23,39,2,0
SCARBOROUGH,30.22,37,2,0
GREENCASTLE,30.13,44,1,0.43
GALWAY,30.24,52,1,0.25
VALENTIA,30.34,54,1,0.57
QUEENSTOWN,30.18,53,1,0.2
LIVERPOOL,30.2,45,2,999
HOLYHEAD,30.15,52,0,0.45
PEMBROKE,30.28,52,0,1.18
PENZANCE,30.38,53,0,0.25
BREST,30.43,54,1,0.08
LORIENT,30.36,54,2,0
ROCHEFORT,30.36,54,0,0
PLYMOUTH,30.34,56,2,0.13
WEYMOUTH,30.31,52,1,0.07
PORTSMOUTH,30.29,49,1,0
LONDON,30.28,45,1,0
DOVER,30.28,48,1,0
YARMOUTH,30.23,39,1,0
HELIGOLAND,29.99,43,0,0.09
