1863,4,13,Monday,DWR_1863_04-10.jpg
NAIRN,30.02,45,3,0
ABERDEEN,30.1,45,2,0
LEITH,30.04,47,3,0
ARDROSSAN,30.02,45,2,0
PORTRUSH,29.95,47,2,0
GALWAY,29.9,51,0,0.15
VALENTIA,29.95,52,4,0.47
QUEENSTOWN,29.92,51,1,0.65
HOLYHEAD,29.95,50,1,0
LIVERPOOL,30.03,47,4,0
PEMBROKE,29.78,44,2,0
PENZANCE,29.98,47,1,0
BREST,29.8,46,2,0.39
LORIENT,30,45,2,0.04
ROCHEFORT,29.96,36,1,0.39
PLYMOUTH,29.96,50,1,0
WEYMOUTH,29.96,52,3,0
PORTSMOUTH,29.93,50,4,0
KEW,29.82,50,4,0
LONDON,30.01,50,3,0
DOVER,30.01,53,4,0
YARMOUTH,30.04,47,999,0
SCARBOROUGH,30.08,47,2,0
SHIELDS,30.13,47,3,0
HELIGOLAND,30.01,44,1,0
COPENHAGEN,30.03,42,999,0
HELDER,30.06,47,999,0
LISBON,30.08,59,999,0
