1862,10,24,Friday,DWR_1862_10-20.jpg
NAIRN,29.39,39,2,0
ABERDEEN,29.33,40,3,0.1
LEITH,29.45,42,3,0
BERWICK,29.44,44,3,0
ARDROSSAN,29.45,43,2,0.57
PORTRUSH,29.49,46,2,0
GALWAY,29.77,45,3,0.2
VALENTIA,29.88,49,4,0.12
QUEENSTOWN,29.81,47,1,0
HOLYHEAD,29.64,49,3,0
LIVERPOOL,29.6,48,4,0.08
PEMBROKE,29.71,48,3,0.1
PENZANCE,29.79,48,1,0.2
PLYMOUTH,29.72,49,3,0
JERSEY,29.72,50,2,0.19
WEYMOUTH,29.71,49,2,0
PORTSMOUTH,29.55,46,2,0
DOVER,29.62,47,2,0
LONDON,29.63,42,2,0
YARMOUTH,29.53,43,1,0
SCARBOROUGH,29.47,44,3,0
SHIELDS,29.42,40,3,0
HELIGOLAND,29.26,49,1,0.38
HELDER,29.42,50,999,0
COPENHAGEN,999,999,999,999
BREST,29.76,47,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,55,999,0
LISBON,30.08,59,999,0
