1862,3,21,Friday,DWR_1862_03-16.jpg
NAIRN,29.78,29,999,0
ABERDEEN,29.8,36,34,0
LEITH,29.8,37,34,0
BERWICK,29.79,42,39,0
ARDROSSAN,29.83,36,34,0
PORTRUSH,29.83,39,38,0
GALWAY,29.85,35,30,0
SHIELDS,29.72,38,35,0
SCARBOROUGH,29.63,39,36,0
HELIGOLAND,29.45,34,33,0
LIVERPOOL,29.69,37,33,0
QUEENSTOWN,29.78,41,40,0
VALENTIA,29.84,39,37,0
YARMOUTH,29.41,47,46,1
LONDON,29.4,36,35,0.92
DOVER,29.3,41,39,0
PORTSMOUTH,29.35,37,36,0.45
PORTLAND,29.45,36,35,1.03
PLYMOUTH,29.51,38,36,0.13
PENZANCE,999,999,999,999
JERSEY,29.35,46,45,0.23
COPENHAGEN,999,999,999,999
HELDER,29.29,36,999,0
BREST,29.49,41,999,0
BAYONNE,999,54,999,0
LISBON,30.04,57,999,0
