1862,10,22,Wednesday,DWR_1862_10-18.jpg
NAIRN,28.66,53,50,0.2
ABERDEEN,28.76,50,49,0.38
LEITH,28.82,54,52,0
BERWICK,28.88,54,52,0
ARDROSSAN,28.91,54,51,0.79
PORTRUSH,29.01,47,44,0
GALWAY,29.73,53,52,0.53
VALENTIA,29.42,55,53,0.86
QUEENSTOWN,29.36,55,53,0.78
HOLYHEAD,29.69,55,54,0.3
LIVERPOOL,29.25,57,55,0.14
PEMBROKE,29.42,57,56,0.57
PENZANCE,29.63,58,57,0.8
PLYMOUTH,29.61,55,54,0
JERSEY,29.84,54,53,0.32
WEYMOUTH,29.58,52,51,0.15
PORTSMOUTH,29.63,54,53,0.21
DOVER,29.63,57,56,0
LONDON,29.56,53,52,0.12
YARMOUTH,29.54,51,50,0.35
SCARBOROUGH,29.17,51,50,0.16
SHIELDS,28.98,56,52,0
HELIGOLAND,29.65,51,46,0.37
HELDER,29.61,54,999,0
COPENHAGEN,999,999,999,999
BREST,29.85,55,999,0
BAYONNE,999,53,999,0
LISBON,999,999,999,999
