1863,11,10,Tuesday,DWR_1863_11-9.jpg
NAIRN,29.58,40,2,0
ABERDEEN,29.48,39,1,0
LEITH,29.61,44,2,0
SHIELDS,29.67,45,2,0.3
SCARBOROUGH,29.69,38,1,0
GREENCASTLE,29.72,43,1,0
GALWAY,29.91,43,2,0.4
VALENTIA,30.03,48,999,0.28
QUEENSTOWN,29.89,47,1,0.24
LIVERPOOL,29.77,47,2,0
HOLYHEAD,29.79,48,1,0.09
PEMBROKE,29.92,49,3,0.35
PENZANCE,30.01,48,1,0
BREST,30.08,46,2,0.15
LORIENT,30.08,37,1,0
ROCHEFORT,30.08,43,0,0
PLYMOUTH,29.95,48,1,0
WEYMOUTH,29.94,46,2,0
PORTSMOUTH,29.97,41,2,0
LONDON,29.94,36,1,0
DOVER,29.95,44,2,0
YARMOUTH,29.92,39,1,0
HELIGOLAND,30.05,36,1,0
