1863,8,29,Saturday,DWR_1863_08-25.jpg
NAIRN,29.64,49,1,0.25
ABERDEEN,29.57,54,1,0.4
LEITH,29.56,56,2,0.56
SHIELDS,29.72,56,4,0.4
SCARBOROUGH,29.6,57,2,0
GREENCASTLE,29.63,54,3,0.36
GALWAY,29.73,54,2,0
VALENTIA,29.75,55,3,0
QUEENSTOWN,999,54,3,0
LIVERPOOL,29.68,55,4,0.04
HOLYHEAD,29.66,56,3,0
PEMBROKE,29.72,55,2,0
PENZANCE,29.75,59,2,0
BREST,29.76,61,4,0.04
LORIENT,29.76,59,2,0.32
ROCHEFORT,29.88,59,8,0
PLYMOUTH,29.73,63,4,0.46
WEYMOUTH,29.73,60,3,0.69
PORTSMOUTH,29.71,60,2,0.23
LONDON,29.71,59,4,0.19
DOVER,29.77,65,3,0.7
YARMOUTH,29.68,58,2,0.5
HELIGOLAND,29.72,63,1,0
