1862,1,4,Saturday,DWR_1862_01-3.jpg
NAIRN,29.93,39,35,999
ABERDEEN,29.86,38,37,999
LEITH,29.91,41,37,999
BERWICK,?29.84,41,37,999
ARDROSSAN,29.96,42,39,999
PORTRUSH,30.05,45,44,999
SHIELDS,29.89,39,35,999
GALWAY,30.19,39,38,999
SCARBOROUGH,29.83,41,40,999
LIVERPOOL,29.97,38,37,999
VALENTIA,30.25,45,44,999
QUEENSTOWN,30.14,43,999,999
YARMOUTH,29.73,40,39,999
LONDON,29.86,38,36,999
DOVER,29.77,31,999,0.2
PORTSMOUTH,29.97,40,39,999
PORTLAND,29.93,43,999,0.03
PLYMOUTH,29.95,43,999,999
PENZANCE,30.08,46,44,999
COPENHAGEN,29.11,33,999,999
HELDER,29.54,40,999,999
BREST,30.03,44,999,999
LORIENT,999,999,999,999
LISBON,999,999,999,999
