1871,1,28,Saturday,DWR_1871_01-54.jpg
CHRISTIANSUND,999,999, NaN,
SKUDDESNAES,999,999, NaN,
THURSO,30.23,32,0,
WICK,30.26,34,0,
OXO,999,999, NaN,
NAIRN,30.21,30,0.02,
ABERDEEN,30.34,33,0,
LEITH,30.31,24,0,
ARDROSSAN,30.31,28,0.01,
GREENCASTLE,999,34,0,
SHIELDS,30.3,33,0,
SCARBOROUGH,30.3,33,0,
LIVERPOOL,30.29,35,0,
HOLYHEAD,30.28,27,0,
HELDER,30.15,30, NaN,
YARMOUTH,30.21,33,0.14,
VALENTIA,30.06,42,0.01,
ROCHESPOINT,30.1,40,0.04,
PEMBROKE,30.21,28,0.05,
LONDON,30.22,30,0,
DOVER,999,33,0.4,
CAPGRISNEZ,30.14,27,0.39,
PORTSMOUTH,30.2,30,0,
PLYMOUTH,30.22,29,0,
PENZANCE,999,30,0.32,
SCILLY,30.25,37,0.2,
BREST,999,999,999,
LORIENT,999,999,999,
ROCHEFORT,999,999,999,
BIARRITZ,999,999,999,
