1861,11,16,Saturday,DWR_1861_11-14.jpg
NAIRN,29.79,35,34,
ABERDEEN,29.75,35,34,
LEITH,29.7,36,35,
BERWICK,29.63,41,38,
ARDROSSAN,29.75,34,999,
PORTRUSH,29.74,39,38,
SHIELDS,29.58,39,35,
GALWAY,29.82,34,33,
SCARBOROUGH,29.47,38,36,
LIVERPOOL,29.61,36,32,
VALENTIA,29.84,42,41,
QUEENSTOWN,29.79,36,35,
YARMOUTH,29.55,31,999,
LONDON,29.62,34,33,
DOVER,?29.69,33,31,
PORTSMOUTH,29.62,36,35,
PORTLAND,29.65,35,33,
PLYMOUTH,29.67,37,36,
PENZANCE,29.71,40,39,
COPENHAGEN,29.33,30,999,
HELDER,29.49,42,999,
BREST,29.66,37,999,
BAYONNE,29.74,49,999,
LISBON,999,999,999,
