1862,12,16,Tuesday,DWR_1862_12-15.jpg
NAIRN,29.73,48,2,0
ABERDEEN,29.88,48,2,0
LEITH,29.91,51,3,0
BERWICK,29.99,48,3,0
ARDROSSAN,29.9,50,2,0.26
PORTRUSH,?29.71,43,1,0
GALWAY,29.98,48,1,0.35
VALENTIA,29.97,52,0,0.52
QUEENSTOWN,30.08,51,0,0
HOLYHEAD,30.11,47,1,0
LIVERPOOL,30.19,43,2,0
PEMBROKE,30.22,49,1,0
PENZANCE,30.28,50,1,0
PLYMOUTH,30.28,49,2,0
JERSEY,30.4,44,2,0
WEYMOUTH,30.33,46,2,0
PORTSMOUTH,30.33,45,2,0
DOVER,999,999,999,999
LONDON,30.33,41,1,0
YARMOUTH,30.35,37,1,0
SCARBOROUGH,30.15,39,2,0
SHIELDS,30.05,45,2,0
HELIGOLAND,30.45,34,0,0
HELDER,30.39,36,999,0
COPENHAGEN,30.43,49,999,0
BREST,30.36,45,999,0
LORIENT,999,999,999,999
ROCHEFORT,30.32,37,4,0
BAYONNE,999,36,999,0
LISBON,999,999,999,999
