1862,4,15,Tuesday,DWR_1862_04-12.jpg
NAIRN,30.26,42,38,0
ABERDEEN,30.19,40,39,0
LEITH,30.23,43,39,0
BERWICK,30.22,46,42,0.17
ARDROSSAN,30.24,40,38,0.4
PORTRUSH,30.27,40,39,0
GALWAY,30.27,45,42,0
SHIELDS,30.2,40,38,0.07
SCARBOROUGH,30.16,42,40,0.14
HELIGOLAND,30,41,37,0
LIVERPOOL,30.21,41,38,0.29
QUEENSTOWN,30.17,48,47,0
VALENTIA,30.24,47,45,0.42
YARMOUTH,30.18,41,38,0
LONDON,30.07,40,38,0
DOVER,30.08,42,40,0
PORTSMOUTH,30.05,40,38,0.08
PORTLAND,30.06,44,41,0.1
PLYMOUTH,30.05,45,43,0.61
PENZANCE,30.09,45,43,0.72
JERSEY,30.02,43,41,0.42
COPENHAGEN,29.84,33,999,0
HELDER,30.05,41,999,0
BREST,29.85,41,999,0
BAYONNE,999,44,999,0
LISBON,30.04,51,999,0
