1863,2,27,Friday,DWR_1863_02-22.jpg
NAIRN,29.66,51,3,0
ABERDEEN,29.78,51,2,0
LEITH,29.87,51,3,0
ARDROSSAN,29.91,48,5,0.3
PORTRUSH,29.88,42,1,0
GALWAY,29.98,51,1,0
VALENTIA,30.06,50,0,0.09
QUEENSTOWN,30.14,52,1,0
HOLYHEAD,30.09,48,2,0
LIVERPOOL,30.17,49,4,0
PEMBROKE,30.27,48,2,0
PENZANCE,30.33,49,1,0
BREST,30.36,41,1,0
LORIENT,30.36,36,1,0
ROCHEFORT,30.36,36,2,0
PLYMOUTH,30.34,49,3,0
WEYMOUTH,30.36,48,2,0
PORTSMOUTH,30.33,47,2,0
KEW,30.34,45,3,0
LONDON,30.33,45,4,0
YARMOUTH,30.28,42,2,0
SCARBOROUGH,30.11,47,2,0
SHIELDS,30.04,50,4,0
HELIGOLAND,30.19,42,0,0
COPENHAGEN,30,42,999,0
HELDER,30.28,44,999,0
BAYONNE,999,38,999,0
LISBON,30.34,50,999,0
