1863,5,23,Saturday,DWR_1863_05-19.jpg
NAIRN,30.04,47,2,0.17
ABERDEEN,30.05,48,4,0.09
LEITH,30.07,48,4,0.09
ARDROSSAN,30.07,48,4,0
PORTRUSH,30.05,48,2,0
GALWAY,30.05,51,3,0
VALENTIA,30.01,53,7,0
QUEENSTOWN,29.98,52,1,0
HOLYHEAD,29.97,52,5,0
LIVERPOOL,30.01,47,5,0
PEMBROKE,29.97,46,4,0
PENZANCE,29.89,48,3,0
BREST,29.72,50,999,0
LORIENT,29.65,46,0,0.79
ROCHEFORT,29.65,59,4,0
PLYMOUTH,29.87,49,5,0
WEYMOUTH,29.86,47,4,0
PORTSMOUTH,29.83,48,4,0
KEW,29.89,47,5,0
LONDON,29.9,49,4,0
DOVER,29.9,46,2,0
YARMOUTH,29.9,49,5,0
SCARBOROUGH,29.98,49,4,0
SHIELDS,30.06,48,5,0
HELIGOLAND,29.91,50,1,0
COPENHAGEN,29.94,49,999,0
HELDER,999,999,999,999
LISBON,29.88,59,999,0
