1863,11,3,Tuesday,DWR_1863_11-3.jpg
NAIRN,29.49,33,1,0
ABERDEEN,29.5,38,3,0.3
LEITH,29.56,41,999,0.07
SHIELDS,29.68,41,4,0
SCARBOROUGH,29.65,46,3,1.4
GREENCASTLE,29.48,41,1,0.13
GALWAY,29.49,52,0,0.61
VALENTIA,999,999,999,0
QUEENSTOWN,29.53,51,1,0.3
LIVERPOOL,29.74,43,4,0.2
HOLYHEAD,29.61,46,0,0.12
PEMBROKE,29.74,43,1,0.35
PENZANCE,29.92,51,0,0.27
BREST,30.08,52,1,0.71
LORIENT,30.12,48,1,999
ROCHEFORT,30.28,48,0,0.2
PLYMOUTH,29.9,51,1,0
WEYMOUTH,29.91,48,2,0.07
PORTSMOUTH,29.9,47,3,0.1
LONDON,29.86,40,4,0.11
DOVER,29.92,46,2,0.5
YARMOUTH,29.72,41,1,0
HELIGOLAND,29.27,45,0,0.05
