1862,5,26,Monday,DWR_1862_05-23.jpg
NAIRN,29.68,57,53,0
ABERDEEN,29.75,53,50,0
LEITH,29.8,57,54,0
BERWICK,29.85,55,53,0
ARDROSSAN,29.82,54,51,0.19
PORTRUSH,29.84,55,52,0
GALWAY,30.01,56,55,0
SHIELDS,29.91,57,51,0
SCARBOROUGH,30.01,55,51,0
HELIGOLAND,30.07,66,59,0
LIVERPOOL,30.08,56,51,0
QUEENSTOWN,30.09,58,57,0
VALENTIA,30.11,55,54,0.33
YARMOUTH,30.12,57,52,0
LONDON,30.17,56,52,0
DOVER,30.14,63,58,0
PORTSMOUTH,?30.21,54,50,0
PORTLAND,30.2,56,52,0
PLYMOUTH,30.19,55,52,0
PENZANCE,30.25,53,52,0
JERSEY,30.25,57,53,0
COPENHAGEN,29.94,54,999,0
HELDER,30.11,56,999,0
BREST,30.24,50,999,0
BAYONNE,999,59,999,0
LISBON,30.1,66,999,0
