1862,7,3,Thursday,DWR_1862_07-2.jpg
NAIRN,29.6,52,48,0.26
ABERDEEN,29.61,52,47,0
LEITH,29.66,54,49,0
BERWICK,29.68,53,49,0
ARDROSSAN,29.68,52,49,0
PORTRUSH,29.78,52,49,0
GALWAY,29.9,57,54,0
VALENTIA,29.93,57,54,0
QUEENSTOWN,29.91,58,56,0
MILFORD,999,999,999,999
HOLYHEAD,29.83,56,55,0
LIVERPOOL,29.85,54,49,0.01
PENZANCE,29.97,54,53,0
PLYMOUTH,29.92,55,53,0
JERSEY,30.02,59,58,0
PORTLAND,29.96,57,54,0.09
PORTSMOUTH,29.92,57,55,0.23
DOVER,29.94,62,56,0
LONDON,29.91,56,50,0.01
YARMOUTH,29.86,55,51,0
SCARBOROUGH,29.75,54,50,0.21
SHIELDS,29.71,54,50,0
HELIGOLAND,29.73,52,50,0
HELDER,29.85,56,999,0
COPENHAGEN,999,999,999,999
BREST,30.04,58,999,0
BAYONNE,999,65,999,0
LISBON,30.05,78,999,0
