1862,8,16,Saturday,DWR_1862_08-13.jpg
NAIRN,30.03,55,54,0
ABERDEEN,29.94,56,55,0
LEITH,29.94,58,57,0
BERWICK,29.96,58,56,0
ARDROSSAN,29.93,60,58,0
PORTRUSH,29.94,55,52,0
GALWAY,30.01,55,54,0
VALENTIA,30.01,57,54,0
QUEENSTOWN,29.96,56,55,0
HOLYHEAD,29.88,59,58,0.15
LIVERPOOL,29.91,60,58,0
PEMBROKE,29.9,60,58,0
PENZANCE,29.92,62,61,0
PLYMOUTH,29.87,60,57,0.21
JERSEY,29.86,61,59,0.09
WEYMOUTH,29.83,61,59,0.06
PORTSMOUTH,29.79,62,59,0
DOVER,29.78,62,57,0
LONDON,29.83,60,58,0.45
YARMOUTH,29.81,61,60,0
SCARBOROUGH,29.91,58,57,0
SHIELDS,29.93,57,56,0
HELIGOLAND,29.9,63,60,0
HELDER,29.82,65,999,0
COPENHAGEN,29.89,66,999,0
BREST,29.88,56,999,0
BAYONNE,999,62,999,0
LISBON,30.05,66,999,0
