1863,11,19,Thursday,DWR_1863_11-18.jpg
NAIRN,999,999,999,999
ABERDEEN,29.92,53,2,0.14
LEITH,29.94,54,3,0
SHIELDS,30.09,49,2,0
SCARBOROUGH,30.15,45,2,0
GREENCASTLE,29.93,52,1,0.08
GALWAY,29.95,53,1,0.25
VALENTIA,29.92,52,1,0.55
QUEENSTOWN,29.87,55,1,0
LIVERPOOL,30.1,46,2,0
HOLYHEAD,30.07,51,1,0
PEMBROKE,30.15,50,2,0
PENZANCE,30.17,52,999,0
BREST,30.16,45,1,0
LORIENT,30.16,34,0,0
ROCHEFORT,30.2,39,1,0
PLYMOUTH,30.2,51,3,0
WEYMOUTH,30.21,50,2,0
PORTSMOUTH,30.23,49,2,0
LONDON,30.23,48,4,0
DOVER,30.28,48,1,0
YARMOUTH,30.24,48,1,0
HELIGOLAND,30.31,44,0,0
