1863,6,24,Wednesday,DWR_1863_06-21.jpg
NAIRN,29.93,59,5,0
ABERDEEN,30.01,60,5,0
LEITH,999,999,999,999
ARDROSSAN,30.02,58,2,0.12
GREENCASTLE,29.97,56,3,0.15
GALWAY,30.03,60,2,0
VALENTIA,30.07,63,4,0.09
QUEENSTOWN,30.08,57,0,0.07
SHIELDS,30.12,59,5,0
SCARBOROUGH,30.11,60,3,0
LIVERPOOL,30.13,59,5,0
HOLYHEAD,30.08,58,1,0
PEMBROKE,30.13,59,3,0
PENZANCE,30.14,56,0,0
BREST,30.08,55,2,0.2
LORIENT,30,61,2,0
ROCHEFORT,30,68,4,0
BAYONNE,29.92,70,999,0
PLYMOUTH,30.14,60,3,0
WEYMOUTH,30.13,57,3,0.15
PORTSMOUTH,30.13,62,4,0
LONDON,30.12,61,4,0.02
DOVER,30.1,999,4,0
YARMOUTH,30.11,60,1,0
HELDER,30.13,66,999,0
HELIGOLAND,30.19,59,0,0
COPENHAGEN,30.25,64,999,0
LISBON,999,999,999,999
