1869,12,30,Thursday,DWR_1869_12-58.jpg
HEARTSCONTENT,999,999,999,
SKUDDESNAES,999,999, NaN,
NAIRN,29.39,39,0.26,
ABERDEEN,29.48,42,0.03,
LEITH,29.3,44,0,
ARDROSSAN,29.49,45,0.58,
GREENCASTLE,999,999,999,
SHIELDS,29.73,38,0,
SCARBOROUGH,29.85,36,0,
LIVERPOOL,29.72,999,0,
HOLYHEAD,29.55,43,0.13,
HELDER,30.2,34, NaN,
YARMOUTH,30.1,35,0.13,
VALENTIA,999,999,999,
ROCHESPOINT,29.25,47,0.35,
PEMBROKE,29.59,45,0,
LONDON,30.05,37,0,
CAPECLEAR,999,999,999,
CAPGRISNEZ,30.17,28,0,
BRUSSELS,999,999, NaN,
PORTSMOUTH,30.03,38,0,
PLYMOUTH,29.82,43,0.02,
PENZANCE,29.6,47,0,
PARIS,999,999,0,
STRASBOURG,999,999, NaN,
BREST,999,999,999,
LORIENT,29.88,41,0,
ROCHEFORT,999,999,999,
LYONS,999,999, NaN,
BIARRITZ,999,999,999,
CORUNNA,999,999, NaN,
TOULON,999,999,999,
