1862,5,22,Thursday,DWR_1862_05-20.jpg
NAIRN,29.46,49,46,0
ABERDEEN,29.4,48,45,0
LEITH,29.48,53,49,0
BERWICK,29.46,53,49,0
ARDROSSAN,29.51,50,47,0.1
PORTRUSH,29.58,51,50,0
GALWAY,29.72,999,999,0
SHIELDS,29.49,49,46,0
SCARBOROUGH,29.49,50,47,0.52
HELIGOLAND,29.59,53,50,0.45
LIVERPOOL,29.62,51,47,0.25
QUEENSTOWN,29.78,53,52,0
VALENTIA,29.75,52,49,0.25
YARMOUTH,29.63,49,46,0.48
LONDON,29.71,50,45,0.17
DOVER,29.77,58,55,0
PORTSMOUTH,29.77,53,49,0.31
PORTLAND,29.81,54,50,0.52
PLYMOUTH,29.71,54,51,0.19
PENZANCE,29.89,54,52,0.17
JERSEY,29.94,57,52,0
COPENHAGEN,29.63,57,999,0
HELDER,29.62,51,999,0
BREST,29.74,51,999,0
BAYONNE,999,60,999,0
LISBON,29.97,63,999,0
