1863,3,9,Monday,DWR_1863_03-7.jpg
NAIRN,29.53,36,2,0
ABERDEEN,29.6,38,1,0
LEITH,29.57,41,3,0
ARDROSSAN,29.53,40,2,0.3
PORTRUSH,29.54,38,1,0
GALWAY,29.57,37,1,0.42
VALENTIA,999,999,999,999
QUEENSTOWN,29.58,41,1,0
HOLYHEAD,29.56,42,3,0.47
LIVERPOOL,29.59,41,2,0.35
PEMBROKE,29.66,35,2,0.42
PENZANCE,29.67,36,1,0.4
BREST,29.61,45,1,0.95
LORIENT,29.57,39,2,0.47
ROCHEFORT,29.53,41,1,0.36
PLYMOUTH,29.66,38,2,0
WEYMOUTH,29.64,37,2,0.5
PORTSMOUTH,29.62,39,3,999
KEW,29.63,33,1,0
LONDON,29.64,32,2,0.21
YARMOUTH,29.6,36,1,0
SCARBOROUGH,29.59,40,1,0.28
SHIELDS,29.62,42,4,0
HELIGOLAND,29.65,32,0,0.17
COPENHAGEN,29.77,39,999,0
HELDER,29.51,40,999,0
BAYONNE,999,49,999,0
LISBON,999,999,999,999
