1862,8,9,Saturday,DWR_1862_08-7.jpg
NAIRN,29.69,53,51,0
ABERDEEN,29.69,53,50,0
LEITH,29.72,58,52,0
BERWICK,29.7,56,51,0.32
ARDROSSAN,29.72,56,54,0
PORTRUSH,29.78,54,51,0
GALWAY,29.9,56,55,0
VALENTIA,29.96,58,54,0
QUEENSTOWN,29.93,59,56,0
HOLYHEAD,29.77,55,53,0.2
LIVERPOOL,29.74,58,55,0.26
PEMBROKE,29.84,58,56,0
PENZANCE,29.9,60,59,0
PLYMOUTH,29.85,60,56,0.29
JERSEY,29.86,60,57,0.09
WEYMOUTH,29.8,61,57,0.08
PORTSMOUTH,29.73,59,57,0.52
DOVER,29.69,59,57,0.25
LONDON,29.71,58,54,0.22
YARMOUTH,29.62,55,52,0.5
SCARBOROUGH,29.63,54,52,0.58
SHIELDS,29.66,54,51,1.2
HELIGOLAND,29.44,56,55,0.17
HELDER,29.48,58,999,0
COPENHAGEN,29.59,61,999,0
BREST,29.94,55,999,0
BAYONNE,999,62,999,0
LISBON,30.09,67,999,0
