1862,2,1,Saturday,DWR_1862_02-0.jpg
NAIRN,29.69,38,37,0.23
ABERDEEN,29.74,41,40,0.17
LEITH,29.5,43,42,999
BERWICK,29.64,44,42,0.25
ARDROSSAN,29.71,43,42,0.48
PORTRUSH,29.7,46,44,999
SHIELDS,29.68,45,44,999
GALWAY,29.8,49,48,999
SCARBOROUGH,29.65,47,46,999
LIVERPOOL,29.77,51,49,0.08
VALENTIA,29.9,51,50,0.1
QUEENSTOWN,29.92,52,51,999
YARMOUTH,29.75,51,50,999
LONDON,29.87,52,50,0.07
DOVER,29.91,50,49,999
PORTSMOUTH,29.96,50,48,0.07
PORTLAND,29.99,50,49,999
PLYMOUTH,30,52,50,999
PENZANCE,30.08,52,51,0.25
COPENHAGEN,999,999,999,999
HELDER,29.66,45,999,999
BREST,30.17,52,999,999
BAYONNE,30.4,48,999,999
LISBON,30.34,49,999,999
