1863,4,17,Friday,DWR_1863_04-14.jpg
NAIRN,30.01,48,5,0
ABERDEEN,30.03,47,2,0
LEITH,30.05,50,4,0
ARDROSSAN,30.1,49,2,0
PORTRUSH,30.08,49,2,0
GALWAY,30.15,50,0,0
VALENTIA,30.2,50,0,0.09
QUEENSTOWN,30.2,51,1,0
HOLYHEAD,30.11,46,0,0.12
LIVERPOOL,30.17,49,2,0
PEMBROKE,30.19,50,1,0
PENZANCE,30.24,52,1,0
BREST,30.24,50,1,0
LORIENT,30.12,50,2,0
ROCHEFORT,30.16,48,999,0.16
PLYMOUTH,30.21,55,4,0
WEYMOUTH,30.19,53,3,0
PORTSMOUTH,30.14,50,4,0
KEW,30.17,49,3,0
LONDON,30.16,51,3,0
DOVER,30.13,51,2,0
YARMOUTH,30.12,50,4,0
SCARBOROUGH,30.1,50,4,0
SHIELDS,30.13,49,5,0
HELIGOLAND,30.06,46,1,0
COPENHAGEN,30.16,46,999,0
HELDER,30.05,49,999,0
LISBON,29.96,61,999,0
