1863,6,23,Tuesday,DWR_1863_06-20.jpg
NAIRN,29.73,57,5,0
ABERDEEN,29.82,58,6,0.13
LEITH,29.91,62,7,0.09
ARDROSSAN,29.92,56,2,0.28
GREENCASTLE,29.89,58,1,0.2
GALWAY,29.94,59,2,999
VALENTIA,30,62,3,0.25
QUEENSTOWN,30.03,60,2,0.45
SHIELDS,29.99,59,6,0
SCARBOROUGH,30.01,59,4,0.25
LIVERPOOL,30.07,60,6,0.01
HOLYHEAD,30,59,2,0.19
PEMBROKE,30.11,58,2,0.12
PENZANCE,30.16,58,1,0
BREST,30.16,59,2,0.08
LORIENT,30.12,61,1,0
ROCHEFORT,30.16,63,4,0
BAYONNE,30.04,70,999,0
PLYMOUTH,30.15,61,3,0.15
WEYMOUTH,30.15,60,4,0.06
PORTSMOUTH,30.1,62,4,0
LONDON,30.12,60,5,0
DOVER,30.15,63,2,0
YARMOUTH,30.1,64,2,0
HELDER,30.1,63,999,0
HELIGOLAND,30.07,59,0,0
COPENHAGEN,30.11,66,999,0
LISBON,999,999,999,999
