1862,1,27,Monday,DWR_1862_01-26.jpg
NAIRN,29.82,44,41,999
ABERDEEN,29.96,42,41,999
LEITH,29.95,47,44,999
BERWICK,29.95,39,37,999
ARDROSSAN,29.89,45,44,0.19
PORTRUSH,29.73,43,41,999
SHIELDS,30.08,41,39,999
GALWAY,29.64,49,48,999
SCARBOROUGH,30.16,38,37,999
LIVERPOOL,30.07,43,?40,999
VALENTIA,29.57,51,50,1.1
QUEENSTOWN,29.76,50,49,999
YARMOUTH,30.32,39,38,999
LONDON,30.26,40,38,0.12
DOVER,30.28,43,41,999
PORTSMOUTH,30.23,43,42,999
PORTLAND,30.2,45,42,999
PLYMOUTH,30.07,47,43,999
PENZANCE,30.05,49,48,999
COPENHAGEN,29.97,48,999,999
HELDER,30.35,32,999,999
BREST,30.09,44,999,999
BAYONNE,30.18,41,999,999
LISBON,30.17,50,999,999
