1863,11,14,Saturday,DWR_1863_11-13.jpg
NAIRN,29.81,52,2,0.2
ABERDEEN,29.88,51,2,0.15
LEITH,29.95,53,2,0
SHIELDS,30.1,52,3,0
SCARBOROUGH,30.14,49,999,0
GREENCASTLE,30.02,51,1,0.05
GALWAY,30.16,52,0,0.11
VALENTIA,30.24,54,4,0
QUEENSTOWN,30.16,53,1,0
LIVERPOOL,30.2,50,3,0
HOLYHEAD,30.17,53,1,0
PEMBROKE,30.28,52,2,0.15
PENZANCE,30.37,50,0,0
BREST,30.39,46,0,0
LORIENT,30.32,34,0,0
ROCHEFORT,30.32,36,0,0
PLYMOUTH,30.34,49,1,0
WEYMOUTH,30.33,49,1,0
PORTSMOUTH,30.32,48,1,0
LONDON,30.31,48,2,0
DOVER,30.32,50,999,0
YARMOUTH,30.24,36,1,0
HELIGOLAND,30.19,46,0,0
