1862,6,28,Saturday,DWR_1862_06-31.jpg
NAIRN,29.88,55,51,0.23
ABERDEEN,29.85,53,47,0
LEITH,29.87,58,52,0
BERWICK,29.87,55,50,0
ARDROSSAN,29.88,55,52,0
PORTRUSH,30.01,52,49,0
GALWAY,30.07,58,53,0
VALENTIA,30.12,57,55,0
QUEENSTOWN,30.08,57,55,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.91,56,53,0.04
PENZANCE,30.09,56,55,0
PLYMOUTH,29.98,58,51,0
JERSEY,30.03,59,54,0
PORTLAND,29.98,57,52,0
PORTSMOUTH,29.9,58,53,0
DOVER,29.85,62,57,0
LONDON,29.88,56,51,0.05
YARMOUTH,29.76,52,50,0
SCARBOROUGH,29.79,53,50,0.16
SHIELDS,29.83,54,49,0
HELIGOLAND,29.57,51,49,0
HELDER,29.66,53,999,0
COPENHAGEN,29.58,57,999,0
BREST,30.07,55,999,0
BAYONNE,999,64,999,0
LISBON,30.06,67,999,0
