1862,3,7,Friday,DWR_1862_03-5.jpg
NAIRN,29.12,34,33,0
ABERDEEN,29.09,38,37,0.38
LEITH,29,41,40,0
BERWICK,29.06,42,41,1.08
ARDROSSAN,28.93,38,37,1.35
PORTRUSH,28.85,49,47,0.5
GALWAY,28.84,49,48,0
SHIELDS,29.09,46,45,0
SCARBOROUGH,29.18,50,49,0
HELIGOLAND,29.51,43,42,0.35
LIVERPOOL,29.14,51,49,0.08
QUEENSTOWN,29.02,52,51,0
VALENTIA,29.01,51,50,0.58
YARMOUTH,29.39,49,48,0.53
LONDON,29.4,51,49,0.09
DOVER,29.48,50,49,0.15
PORTSMOUTH,29.44,51,49,0.15
PORTLAND,29.43,50,49,0.27
PLYMOUTH,29.36,52,51,0.35
PENZANCE,29.37,53,52,0.5
COPENHAGEN,29.46,41,999,0
HELDER,29.49,45,999,0
BREST,29.54,52,999,0
BAYONNE,999,61,999,0
LISBON,29.97,57,999,0
