1862,2,5,Wednesday,DWR_1862_02-3.jpg
NAIRN,29.79,42,41,0.27
ABERDEEN,29.76,43,42,999
LEITH,29.83,48,46,999
BERWICK,29.72,49,46,0.5
ARDROSSAN,29.91,48,47,0.19
PORTRUSH,29.96,46,44,999
SHIELDS,29.79,51,49,999
GALWAY,30.13,49,48,999
SCARBOROUGH,29.81,51,49,999
LIVERPOOL,29.98,50,49,0.01
VALENTIA,30.19,?49,48,0.1
QUEENSTOWN,30.16,50,49,999
YARMOUTH,29.95,50,48,999
LONDON,30.09,49,47,999
DOVER,30.12,47,46,999
PORTSMOUTH,30.17,49,48,999
PORTLAND,30.18,49,48,999
PLYMOUTH,30.2,50,49,999
PENZANCE,30.26,51,50,999
COPENHAGEN,29.56,36,999,999
HELDER,29.84,45,999,999
BREST,30.31,50,999,999
BAYONNE,30.37,39,999,999
LISBON,30.32,49,999,999
