1863,1,19,Monday,DWR_1863_01-15.jpg
NAIRN,28.85,39,3,0.43
ABERDEEN,28.86,38,2,0.25
LEITH,29.02,43,4,0
ARDROSSAN,29.17,45,0,0.98
PORTRUSH,29.26,44,1,0
GALWAY,29.59,47,2,0
VALENTIA,29.81,49,1,999
QUEENSTOWN,29.7,49,1,0
HOLYHEAD,29.39,46,1,0.45
LIVERPOOL,29.3,45,9,0.3
PEMBROKE,29.58,49,5,0.27
PENZANCE,29.74,51,1,0.47
BREST,29.83,52,1,0.98
JERSEY,29.66,50,9,0.25
LORIENT,29.73,34,2,0.28
ROCHEFORT,29.82,48,1,0.04
PLYMOUTH,29.66,51,4,0.27
WEYMOUTH,29.54,50,5,0.43
PORTSMOUTH,29.44,47,3,0.17
KEW,29.36,48,5,0
LONDON,29.34,47,4,0.21
YARMOUTH,29.14,43,2,0.73
SCARBOROUGH,29.04,43,4,0.29
SHIELDS,29.06,42,3,0
HELIGOLAND,28.76,40,0,0.24
COPENHAGEN,28.57,33,999,0
HELDER,28.9,44,999,0
BAYONNE,999,50,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
