1862,7,4,Friday,DWR_1862_07-3.jpg
NAIRN,29.69,55,51,0.12
ABERDEEN,29.68,53,49,0.07
LEITH,29.72,57,51,0
BERWICK,29.73,55,51,0
ARDROSSAN,29.74,54,51,0
PORTRUSH,29.75,53,52,0
GALWAY,29.91,59,53,0
VALENTIA,29.89,59,54,0
QUEENSTOWN,29.9,52,48,0
MILFORD,999,999,999,999
HOLYHEAD,29.83,56,55,0
LIVERPOOL,29.87,55,51,0
PENZANCE,29.94,56,55,0
PLYMOUTH,29.9,57,54,0.2
JERSEY,29.99,62,58,0
PORTLAND,29.94,57,54,0.16
PORTSMOUTH,29.91,56,54,0.47
DOVER,29.92,60,56,0.39
LONDON,29.91,53,50,0.21
YARMOUTH,29.86,57,52,0
SCARBOROUGH,29.77,54,51,0
SHIELDS,29.74,55,52,0
HELIGOLAND,29.77,55,53,0.2
HELDER,29.85,57,999,999
COPENHAGEN,29.69,55,999,999
BREST,29.95,59,999,999
BAYONNE,999,69,999,999
LISBON,30.01,65,999,999
