1863,5,4,Monday,DWR_1863_05-2.jpg
NAIRN,29.45,54,3,0.13
ABERDEEN,29.49,54,4,0.15
LEITH,29.62,52,3,0
ARDROSSAN,29.68,50,1,0.15
PORTRUSH,29.73,50,2,0
GALWAY,29.92,54,1,0
VALENTIA,30.01,53,1,0.09
QUEENSTOWN,29.94,56,1,0
HOLYHEAD,29.81,53,2,0
LIVERPOOL,29.85,52,3,0
PEMBROKE,29.92,53,2,0
PENZANCE,29.99,55,1,0
BREST,29.96,52,1,0
LORIENT,29.84,54,3,0
ROCHEFORT,29.92,54,2,0.12
PLYMOUTH,29.94,57,2,0
WEYMOUTH,29.89,57,5,0
PORTSMOUTH,29.83,57,4,0
KEW,29.86,55,4,0
LONDON,29.85,56,4,0
DOVER,29.82,55,1,0
YARMOUTH,29.83,53,3,0
SCARBOROUGH,29.73,53,3,0
SHIELDS,29.72,54,4,0
HELIGOLAND,29.73,45,1,0
COPENHAGEN,29.67,44,999,0
HELDER,29.77,51,999,0
LISBON,29.96,60,999,0
