1862,12,15,Monday,DWR_1862_12-14.jpg
NAIRN,29.89,45,4,0
ABERDEEN,30.02,43,2,0
LEITH,30.08,45,2,0
BERWICK,30.16,46,2,0.3
ARDROSSAN,30.01,47,2,0.19
PORTRUSH,?29.87,44,2,0
GALWAY,30.03,47,2,0.15
VALENTIA,30.01,50,0,0.16
QUEENSTOWN,30.11,49,1,0
HOLYHEAD,30.18,47,1,0.15
LIVERPOOL,30.27,42,2,0.01
PEMBROKE,30.27,49,1,0
PENZANCE,30.31,49,1,0
PLYMOUTH,30.34,46,2,0
JERSEY,30.44,40,1,0.17
WEYMOUTH,30.39,45,3,0.18
PORTSMOUTH,30.4,43,2,0.19
DOVER,30.47,43,1,0.35
LONDON,30.42,40,1,0.13
YARMOUTH,30.43,37,1,0.48
SCARBOROUGH,30.29,39,1,0
SHIELDS,30.21,43,2,0
HELIGOLAND,30.41,41,0,0
HELDER,30.45,44,999,0
COPENHAGEN,30.71,37,999,0
BREST,30.37,40,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,41,999,0
LISBON,999,999,999,999
