1862,11,29,Saturday,DWR_1862_11-25.jpg
NAIRN,29.81,41,2,0
ABERDEEN,29.9,43,2,0
LEITH,29.82,43,2,0
BERWICK,29.87,42,2,0
ARDROSSAN,29.71,41,1,0.35
PORTRUSH,999,39,1,0
GALWAY,29.6,39,1,0
VALENTIA,29.61,43,1,0.11
QUEENSTOWN,29.65,37,2,0
HOLYHEAD,29.71,41,1,0.1
LIVERPOOL,29.79,42,2,0
PEMBROKE,29.68,47,1,0.91
PENZANCE,29.68,47,1,1.3
PLYMOUTH,29.67,46,1,0
JERSEY,29.67,999,999,0
WEYMOUTH,29.68,41,1,0
PORTSMOUTH,29.66,42,2,0.18
DOVER,29.68,40,1,0
LONDON,29.69,43,3,0
YARMOUTH,29.76,43,2,0
SCARBOROUGH,29.84,44,2,0
SHIELDS,29.85,43,3,0
HELIGOLAND,30.06,40,1,0
HELDER,29.86,36,999,0
COPENHAGEN,30.13,39,999,0
BREST,29.63,42,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,48,999,0
LISBON,999,999,999,999
