1862,4,28,Monday,DWR_1862_04-22.jpg
NAIRN,29.97,50,46,0
ABERDEEN,30,49,46,0
LEITH,30.05,51,47,0
BERWICK,30.09,50,47,0
ARDROSSAN,30.07,49,48,0
PORTRUSH,30.1,48,47,0
GALWAY,30.04,58,56,0
SHIELDS,30.11,51,49,0
SCARBOROUGH,30.11,51,49,0
HELIGOLAND,30.21,49,45,0
LIVERPOOL,30.18,53,49,0
QUEENSTOWN,30.17,57,56,0
VALENTIA,30.17,58,54,0.1
YARMOUTH,30.16,49,48,0
LONDON,30.17,53,50,0
DOVER,30.21,56,54,0
PORTSMOUTH,30.16,52,50,0
PORTLAND,30.17,55,50,0
PLYMOUTH,30.13,52,49,0
PENZANCE,30.19,54,52,0
JERSEY,30.15,56,51,0
COPENHAGEN,30.06,45,999,0
HELDER,30.19,50,999,0
BREST,30.1,49,999,0
BAYONNE,999,64,999,0
LISBON,29.77,69,999,0
