1862,7,14,Monday,DWR_1862_07-14.jpg
NAIRN,29.5,58,55,0.09
ABERDEEN,29.52,64,61,0
LEITH,29.57,63,59,0
BERWICK,29.62,59,56,0
ARDROSSAN,29.54,57,55,0.35
PORTRUSH,29.54,55,53,0
GALWAY,29.61,60,57,0
VALENTIA,29.68,58,56,999
QUEENSTOWN,29.69,60,58,0
MILFORD,?29.81,59,57,0.1
HOLYHEAD,29.66,59,57,0
LIVERPOOL,29.75,61,56,0
PENZANCE,29.9,61,54,0
PLYMOUTH,29.87,63,59,0
JERSEY,?30.00,63,61,0
PORTLAND,29.9,62,60,0.07
PORTSMOUTH,29.9,61,59,0
DOVER,29.95,68,63,0
LONDON,29.89,62,60,0.02
YARMOUTH,29.85,63,59,0
SCARBOROUGH,29.71,62,58,0
SHIELDS,29.65,61,55,0
HELIGOLAND,29.92,58,56,0.15
HELDER,29.89,62,999,999
COPENHAGEN,29.92,61,999,999
BREST,29.72,60,999,999
BAYONNE,999,63,999,999
LISBON,30.12,68,999,999
